Hostname,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21
S580-BBQS3685,,,,,,,
S580-BBQS4364,,,,,,,
S580-BBQS4597,,,,,,,
S580-BBQS3817,,,,,,,
S580-BBQS7149,,,,,,,
S580-BBQS3696,,,,,,,
BBQS3816,,,,,,,
S580-BBSQ3142,,,,,,,
S450-BBQS5622,,,,,,,
S450L-BBSQ3150,,,,,,,
S580-BBQS3499,,,,,,,
